FID,id,latitude,longitude,district
127,207,31.179741580000002,71.303457260000002,Layyah
128,213,30.850653099999999,70.799980439999999,Layyah
129,245,31.263132370000001,71.188197489999993,Layyah
130,261,31.163317480000000,71.706034910000000,Layyah
131,41,32.258989090000000,71.553127180000004,Mianwali
132,43,32.254606889999998,71.689967719999999,Mianwali
133,55,32.931942790000001,71.394523019999994,Mianwali
134,170,32.518169839999999,71.736269969999995,Mianwali
135,178,32.745705340000001,71.353657920000003,Mianwali
136,299,32.798478009999997,71.275385060000005,Mianwali
137,300,32.224554439999999,71.322217359999996,Mianwali
138,4,33.271898729999997,73.188238209999994,Rawalpindi
139,100,33.387050389999999,73.465074090000002,Rawalpindi
140,104,33.610527359999999,73.099232110000003,Rawalpindi
141,113,33.788536839999999,73.259497670000002,Rawalpindi
142,124,33.256689780000002,73.293472030000004,Rawalpindi
143,219,33.449291410000001,73.576393870000004,Rawalpindi
144,275,33.669137839999998,72.815271609999996,Rawalpindi
145,281,33.591050539999998,73.595635270000002,Rawalpindi
146,296,33.086954429999999,73.120171470000003,Rawalpindi
147,115,32.046803720000000,73.514283559999996,Hafizabad
148,128,31.983436919999999,73.483310110000005,Hafizabad
149,250,32.177471009999998,73.756284809999997,Hafizabad
150,257,32.073280820000001,73.314570739999994,Hafizabad
151,87,32.291000240000002,73.467448880000006,Mandi Bahuddin
152,97,32.516452520000001,73.749763209999998,Mandi Bahuddin
153,293,32.599219110000000,73.684296430000003,Mandi Bahuddin
154,295,32.539562619999998,73.456813269999998,Mandi Bahuddin
155,25,28.545657080000002,69.922030379999995,Rajanpur
156,46,29.009068650000000,69.989337730000003,Rajanpur
157,98,29.208037900000001,70.426934939999995,Rajanpur
158,114,29.125240139999999,70.498648309999993,Rajanpur
159,150,29.153030959999999,69.887357219999998,Rajanpur
160,154,29.491566729999999,70.551116730000004,Rajanpur
161,194,29.496539779999999,69.971593400000003,Rajanpur
162,195,29.176509719999999,69.757561510000002,Rajanpur
163,264,28.658530460000001,69.549217600000006,Rajanpur
164,279,28.830607860000001,70.327768870000000,Rajanpur
165,88,32.694518080000002,74.220526690000000,Gujrat
166,165,32.804586520000001,74.153627680000000,Gujrat
167,232,32.712792839999999,73.897585359999994,Gujrat
168,286,32.835510120000002,74.015588930000007,Gujrat
169,14,29.517044700000000,71.936027120000006,Lodhran
170,40,29.594425820000001,71.436775040000001,Lodhran
171,137,29.604147500000000,71.989761329999993,Lodhran
172,230,29.813943170000002,71.638349930000004,Lodhran
173,240,29.867032470000002,71.929265279999996,Lodhran
174,266,29.641767649999998,72.055784680000002,Lodhran
175,15,28.287565380000000,69.666907629999997,Rahim Yar Khan
176,47,28.587368770000001,70.518168410000001,Rahim Yar Khan
177,70,28.684612510000001,70.221680000000006,Rahim Yar Khan
178,75,28.144450849999998,70.069981790000000,Rahim Yar Khan
179,96,27.938708410000000,70.706614099999996,Rahim Yar Khan
180,103,28.366151349999999,70.886201060000005,Rahim Yar Khan
181,107,28.798235770000002,71.003215499999996,Rahim Yar Khan
182,111,28.052699590000000,70.761586559999998,Rahim Yar Khan
183,120,28.649601740000001,70.781445750000003,Rahim Yar Khan
184,136,28.160785870000002,70.109420090000000,Rahim Yar Khan
185,179,28.182561669999998,69.982033049999998,Rahim Yar Khan
186,221,28.327872469999999,70.813461059999995,Rahim Yar Khan
187,229,28.720210569999999,70.820436290000004,Rahim Yar Khan
188,244,28.159656490000000,70.696715720000000,Rahim Yar Khan
189,284,28.748910240000001,70.466700090000003,Rahim Yar Khan
190,292,28.059170770000001,70.472011769999995,Rahim Yar Khan
191,63,33.407439470000000,72.391152910000002,Attock
192,91,33.271700420000002,72.121731479999994,Attock
193,109,33.675428680000003,72.667207689999998,Attock
194,144,33.764928169999997,72.505012679999993,Attock
195,157,33.721829950000000,72.571691029999997,Attock
196,163,33.430598910000001,72.094664989999998,Attock
197,186,33.308644209999997,71.976244609999995,Attock
198,233,33.889158760000001,72.719444499999994,Attock
199,3,30.257478270000000,73.675744109999997,Bahawalnagar
200,23,29.961880140000002,73.355626150000006,Bahawalnagar
201,45,29.895649460000001,73.343689929999996,Bahawalnagar
202,49,29.389776749999999,72.990579269999998,Bahawalnagar
203,53,29.555055679999999,72.974382149999997,Bahawalnagar
204,99,29.086486359999999,72.493797499999999,Bahawalnagar
205,133,29.299479819999998,72.806192449999998,Bahawalnagar
206,218,29.866818129999999,72.724058869999993,Bahawalnagar
207,285,29.194640769999999,72.533703819999999,Bahawalnagar
208,6,28.815517410000002,72.248419830000003,Bahawalpur
209,13,28.642970429999998,72.037347159999996,Bahawalpur
210,18,28.447442750000000,72.215080979999996,Bahawalpur
211,30,28.242724949999999,71.679449289999994,Bahawalpur
212,31,28.887219320000000,71.767912800000005,Bahawalpur
213,39,27.889416700000002,71.375263579999995,Bahawalpur
214,44,29.346093509999999,71.188902310000003,Bahawalpur
215,78,28.872985419999999,71.891642480000002,Bahawalpur
216,83,28.131497320000001,71.487042979999998,Bahawalpur
217,85,28.301514760000000,72.106660719999994,Bahawalpur
218,89,28.552673169999998,71.958454810000006,Bahawalpur
219,101,28.741298740000001,72.369698909999997,Bahawalpur
220,108,28.869395799999999,71.900905449999996,Bahawalpur
